YOUR NAME,initial mass  [Msol],initial metallicity,overshoot scheme,overshoot parameter (f_ov),overshoot f0,,log_Teff [K],log_L [Lsol],Core mass [Msol],Core radius [Rsol],Age [Myr]
,2,0.014,no overshooting,0,0,,,,,,
,2,0.014,exponential,0.01,0.001,,,,,,
,2,0.014,exponential,0.01,0.005,,,,,,
,2,0.014,exponential,0.01,0.01,,,,,,
,2,0.014,exponential,0.03,0.001,,,,,,
,2,0.014,exponential,0.03,0.005,,,,,,
,2,0.014,exponential,0.03,0.01,,,,,,
,2,0.014,exponential,0.1,0.001,,,,,,
,2,0.014,exponential,0.1,0.005,,,,,,
,2,0.014,exponential,0.1,0.01,,,,,,
,2,0.014,step,0.1,0.001,,,,,,
,2,0.014,step,0.1,0.005,,,,,,
,2,0.014,step,0.1,0.01,,,,,,
,2,0.014,step,0.3,0.001,,,,,,
,2,0.014,step,0.3,0.005,,,,,,
,2,0.014,step,0.3,0.01,,,,,,
,2,0.0014,no overshooting,0,0,,,,,,
,2,0.0014,exponential,0.01,0.001,,,,,,
,2,0.0014,exponential,0.01,0.005,,,,,,
,2,0.0014,exponential,0.01,0.01,,,,,,
,2,0.0014,exponential,0.03,0.001,,,,,,
,2,0.0014,exponential,0.03,0.005,,,,,,
,2,0.0014,exponential,0.03,0.01,,,,,,
,2,0.0014,exponential,0.1,0.001,,,,,,
,2,0.0014,exponential,0.1,0.005,,,,,,
,2,0.0014,exponential,0.1,0.01,,,,,,
,2,0.0014,step,0.02,0.001,,,,,,
,2,0.0014,step,0.02,0.001,,,,,,
,2,0.0014,step,0.02,0.005,,,,,,
,2,0.0014,step,0.02,0.01,,,,,,
,2,0.0014,step,0.04,0.001,,,,,,
,2,0.0014,step,0.04,0.005,,,,,,
,2,0.0014,step,0.04,0.01,,,,,,
,5,0.014,no overshooting,0,0,,,,,,
,5,0.014,exponential,0.01,0.001,,,,,,
,5,0.014,exponential,0.01,0.005,,,,,,
,5,0.014,exponential,0.01,0.01,,,,,,
,5,0.014,exponential,0.03,0.001,,,,,,
,5,0.014,exponential,0.03,0.005,,,,,,
,5,0.014,exponential,0.03,0.01,,,,,,
,5,0.014,exponential,0.1,0.001,,,,,,
,5,0.014,exponential,0.1,0.005,,,,,,
,5,0.014,exponential,0.1,0.01,,,,,,
,5,0.014,step,0.1,0.001,,,,,,
,5,0.014,step,0.1,0.005,,,,,,
,5,0.014,step,0.1,0.01,,,,,,
,5,0.014,step,0.3,0.001,,,,,,
,5,0.014,step,0.3,0.005,,,,,,
,5,0.014,step,0.3,0.01,,,,,,
,5,0.0014,no overshooting,0,0,,,,,,
,5,0.0014,exponential,0.01,0.001,,,,,,
,5,0.0014,exponential,0.01,0.005,,,,,,
,5,0.0014,exponential,0.01,0.01,,,,,,
,5,0.0014,exponential,0.03,0.001,,,,,,
,5,0.0014,exponential,0.03,0.005,,,,,,
,5,0.0014,exponential,0.03,0.01,,,,,,
,5,0.0014,exponential,0.1,0.001,,,,,,
,5,0.0014,exponential,0.1,0.005,,,,,,
,5,0.0014,exponential,0.1,0.01,,,,,,
,5,0.0014,step,0.02,0.001,,,,,,
,5,0.0014,step,0.02,0.001,,,,,,
,5,0.0014,step,0.02,0.005,,,,,,
,5,0.0014,step,0.02,0.01,,,,,,
,5,0.0014,step,0.04,0.001,,,,,,
,5,0.0014,step,0.04,0.005,,,,,,
,5,0.0014,step,0.04,0.01,,,,,,
,15,0.014,no overshooting,0,0,,,,,,
,15,0.014,exponential,0.01,0.001,,,,,,
,15,0.014,exponential,0.01,0.005,,,,,,
,15,0.014,exponential,0.01,0.01,,,,,,
,15,0.014,exponential,0.03,0.001,,,,,,
,15,0.014,exponential,0.03,0.005,,,,,,
,15,0.014,exponential,0.03,0.01,,,,,,
,15,0.014,exponential,0.1,0.001,,,,,,
,15,0.014,exponential,0.1,0.005,,,,,,
,15,0.014,exponential,0.1,0.01,,,,,,
,15,0.014,step,0.1,0.001,,,,,,
,15,0.014,step,0.1,0.005,,,,,,
,15,0.014,step,0.1,0.01,,,,,,
,15,0.014,step,0.3,0.001,,,,,,
,15,0.014,step,0.3,0.005,,,,,,
,15,0.014,step,0.3,0.01,,,,,,
,15,0.0014,no overshooting,0,0,,,,,,
,15,0.0014,exponential,0.01,0.001,,,,,,
,15,0.0014,exponential,0.01,0.005,,,,,,
,15,0.0014,exponential,0.01,0.01,,,,,,
,15,0.0014,exponential,0.03,0.001,,,,,,
,15,0.0014,exponential,0.03,0.005,,,,,,
,15,0.0014,exponential,0.03,0.01,,,,,,
,15,0.0014,exponential,0.1,0.001,,,,,,
,15,0.0014,exponential,0.1,0.005,,,,,,
,15,0.0014,exponential,0.1,0.01,,,,,,
,15,0.0014,step,0.02,0.001,,,,,,
,15,0.0014,step,0.02,0.001,,,,,,
,15,0.0014,step,0.02,0.005,,,,,,
,15,0.0014,step,0.02,0.01,,,,,,
,15,0.0014,step,0.04,0.001,,,,,,
,15,0.0014,step,0.04,0.005,,,,,,
,15,0.0014,step,0.04,0.01,,,,,,
,30,0.014,no overshooting,0,0,,,,,,
,30,0.014,exponential,0.01,0.001,,,,,,
,30,0.014,exponential,0.01,0.005,,,,,,
,30,0.014,exponential,0.01,0.01,,,,,,
,30,0.014,exponential,0.03,0.001,,,,,,
,30,0.014,exponential,0.03,0.005,,,,,,
,30,0.014,exponential,0.03,0.01,,,,,,
,30,0.014,exponential,0.1,0.001,,,,,,
,30,0.014,exponential,0.1,0.005,,,,,,
,30,0.014,exponential,0.1,0.01,,,,,,
,30,0.014,step,0.1,0.001,,,,,,
,30,0.014,step,0.1,0.005,,,,,,
,30,0.014,step,0.1,0.01,,,,,,
,30,0.014,step,0.3,0.001,,,,,,
,30,0.014,step,0.3,0.005,,,,,,
,30,0.014,step,0.3,0.01,,,,,,
,30,0.0014,no overshooting,0,0,,,,,,
,30,0.0014,exponential,0.01,0.001,,,,,,
,30,0.0014,exponential,0.01,0.005,,,,,,
,30,0.0014,exponential,0.01,0.01,,,,,,
,30,0.0014,exponential,0.03,0.001,,,,,,
,30,0.0014,exponential,0.03,0.005,,,,,,
,30,0.0014,exponential,0.03,0.01,,,,,,
,30,0.0014,exponential,0.1,0.001,,,,,,
,30,0.0014,exponential,0.1,0.005,,,,,,
,30,0.0014,exponential,0.1,0.01,,,,,,
,30,0.0014,step,0.02,0.001,,,,,,
,30,0.0014,step,0.02,0.001,,,,,,
,30,0.0014,step,0.02,0.005,,,,,,
,30,0.0014,step,0.02,0.01,,,,,,
,30,0.0014,step,0.04,0.001,,,,,,
,30,0.0014,step,0.04,0.005,,,,,,
,30,0.0014,step,0.04,0.01,,,,,,
