YOUR NAME,initial mass  [Msol],initial metallicity,overshoot scheme,overshoot parameter (f_ov),overshoot f0,,log_Teff [K],log_L [Lsol],Core mass [Msol],Core radius [Rsol],Age [Myr],Runtime [s],Status
,15.0,0.0014,exponential,0.01,0.001,,4.483,4.713,3.84205,0.63318,11.66,49,completed
,15.0,0.0014,exponential,0.01,0.005,,4.482,4.715,3.84205,0.6359,11.68,49,completed
,15.0,0.0014,exponential,0.01,0.01,,4.483,4.714,3.83588,0.63317,11.66,49,completed
,15.0,0.0014,exponential,0.03,0.001,,4.454,4.807,4.90241,0.70156,12.92,50,completed
,15.0,0.0014,exponential,0.03,0.005,,4.452,4.814,5.00405,0.70687,13.01,50,completed
,15.0,0.0014,exponential,0.03,0.01,,4.451,4.814,4.99811,0.70683,13.01,49,completed
,15.0,0.0014,exponential,0.1,0.001,,4.325,5.069,8.35196,0.92611,15.66,51,completed
,15.0,0.0014,exponential,0.1,0.005,,4.31,5.09,8.70612,0.95492,15.87,51,completed
,15.0,0.0014,exponential,0.1,0.01,,4.307,5.094,8.74989,0.95948,15.9,50,completed
,15.0,0.0014,no overshooting,0.0,0.0,,4.512,4.539,1.86152,1.35321,8.69,49,completed
,15.0,0.0014,step,0.02,0.001,,4.497,4.663,3.29742,0.57563,10.84,49,completed
,15.0,0.0014,step,0.02,0.005,,4.499,4.652,3.19827,0.56449,10.67,50,completed
,15.0,0.0014,step,0.02,0.01,,4.505,4.621,2.79617,0.52796,10.16,50,completed
,15.0,0.0014,step,0.04,0.001,,4.491,4.685,3.48643,0.60222,11.22,50,completed
,15.0,0.0014,step,0.04,0.005,,4.492,4.683,3.48333,0.59941,11.18,50,completed
,15.0,0.0014,step,0.04,0.01,,4.493,4.679,3.44616,0.59626,11.12,49,completed
,15.0,0.014,exponential,0.01,0.001,,4.409,4.662,3.63083,0.71255,12.08,59,completed
,15.0,0.014,exponential,0.01,0.005,,4.409,4.664,3.62464,0.71258,12.1,51,completed
,15.0,0.014,exponential,0.01,0.01,,4.409,4.662,3.63083,0.71248,12.08,50,completed
,15.0,0.014,exponential,0.03,0.001,,4.367,4.754,4.63481,0.79468,13.46,51,completed
,15.0,0.014,exponential,0.03,0.005,,4.363,4.762,4.75544,0.80091,13.56,51,completed
,15.0,0.014,exponential,0.03,0.01,,4.363,4.762,4.74938,0.80103,13.57,50,completed
,15.0,0.014,exponential,0.1,0.001,,4.12,5.02,7.99786,1.04705,16.51,52,completed
,15.0,0.014,exponential,0.1,0.005,,4.081,5.042,8.33583,1.06981,16.73,52,completed
,15.0,0.014,exponential,0.1,0.01,,4.067,5.048,8.4103,1.07129,16.79,52,completed
,15.0,0.014,no overshooting,0.0,0.0,,4.45,4.473,1.62305,1.49484,8.45,49,completed
,15.0,0.014,step,0.1,0.001,,4.409,4.661,3.63702,0.71267,12.06,50,completed
,15.0,0.014,step,0.1,0.005,,4.41,4.659,3.5814,0.70947,12.03,50,completed
,15.0,0.014,step,0.1,0.01,,4.411,4.657,3.55667,0.70601,12.0,50,completed
,2.0,0.014,no overshooting,0.0,0.0,,3.937,1.315,0.05131,2.00815,511.87,49,completed
,2.0,0.014,exponential,0.01,0.001,,3.901,1.511,0.20061,0.09212,1016.77,48,completed
,2.0,0.014,exponential,0.01,0.005,,3.9,1.512,0.20367,0.09231,1019.93,47,completed
,2.0,0.014,exponential,0.01,0.01,,3.901,1.511,0.20061,0.09214,1017.01,46,completed
,2.0,0.014,exponential,0.03,0.001,,3.854,1.596,0.27301,0.1066,1227.6,49,completed
,2.0,0.014,exponential,0.03,0.005,,3.852,1.607,0.2826,0.10589,1242.55,48,completed
,2.0,0.014,exponential,0.03,0.01,,3.851,1.608,0.2826,0.106,1244.73,48,completed
,2.0,0.014,exponential,0.1,0.001,,3.703,2.102,0.68195,0.14375,1716.32,47,completed
,2.0,0.014,exponential,0.1,0.005,,3.698,2.159,0.72564,0.14646,1737.63,49,completed
,2.0,0.014,exponential,0.1,0.01,,3.697,2.175,0.73799,0.14568,1742.39,49,completed
,2.0,0.014,step,0.1,0.001,,3.903,1.508,0.19719,0.09096,1006.95,48,completed
,2.0,0.014,step,0.1,0.005,,3.903,1.507,0.19719,0.09096,1003.81,49,completed
,2.0,0.014,step,0.1,0.01,,3.905,1.505,0.19453,0.08972,996.67,48,completed
