run_name,mass,metallicity,scheme,fov,f0,final_age_Myr,log_Teff,log_L,he_core_mass,core_radius
inlist_M2_Z0.0140_noovs,2.0,0.014,none,0.0,0.0,511.87,3.937,1.315,0.05131,NA
inlist_M15_Z0.0014_exponential_fov0.01_f00.001,15.0,0.0014,exponential,0.01,0.001,11.66,4.483,4.713,3.84205,NA
inlist_M15_Z0.0014_exponential_fov0.01_f00.005,15.0,0.0014,exponential,0.01,0.005,11.68,4.482,4.715,3.84205,NA
inlist_M15_Z0.0014_exponential_fov0.01_f00.010,15.0,0.0014,exponential,0.01,0.01,11.66,4.483,4.714,3.83588,NA
inlist_M15_Z0.0014_exponential_fov0.03_f00.001,15.0,0.0014,exponential,0.03,0.001,12.92,4.454,4.807,4.90241,NA
inlist_M15_Z0.0014_exponential_fov0.03_f00.005,15.0,0.0014,exponential,0.03,0.005,13.01,4.452,4.814,5.00405,NA
inlist_M15_Z0.0014_exponential_fov0.03_f00.01,15.0,0.0014,exponential,0.03,0.01,13.01,4.451,4.814,4.99811,NA
inlist_M15_Z0.0014_exponential_fov0.10_f00.001,15.0,0.0014,exponential,0.1,0.001,15.66,4.325,5.069,8.35196,NA
inlist_M15_Z0.0014_exponential_fov0.10_f00.005,15.0,0.0014,exponential,0.1,0.005,15.87,4.31,5.09,8.70612,NA
inlist_M15_Z0.0014_exponential_fov0.10_f00.01,15.0,0.0014,exponential,0.1,0.01,15.9,4.307,5.094,8.74989,NA
inlist_M15_Z0.0014_noovs,15.0,0.0014,none,0.0,0.0,8.69,4.512,4.539,1.86152,NA
inlist_M15_Z0.0014_step_fov0.02_f00.001,15.0,0.0014,step,0.02,0.001,10.84,4.497,4.663,3.29742,NA
inlist_M15_Z0.0014_step_fov0.02_f00.005,15.0,0.0014,step,0.02,0.005,10.67,4.499,4.652,3.19827,NA
inlist_M15_Z0.0014_step_fov0.02_f00.01,15.0,0.0014,step,0.02,0.01,10.16,4.505,4.621,2.79617,NA
inlist_M15_Z0.0014_step_fov0.04_f00.001,15.0,0.0014,step,0.04,0.001,11.22,4.491,4.685,3.48643,NA
inlist_M15_Z0.0014_step_fov0.04_f00.005,15.0,0.0014,step,0.04,0.005,11.18,4.492,4.683,3.48333,NA
inlist_M15_Z0.0014_step_fov0.04_f00.01,15.0,0.0014,step,0.04,0.01,11.12,4.493,4.679,3.44616,NA
inlist_M15_Z0.0140_exponential_fov0.01_f00.001,15.0,0.014,exponential,0.01,0.001,12.08,4.409,4.662,3.63083,NA
inlist_M15_Z0.0140_exponential_fov0.01_f00.005,15.0,0.014,exponential,0.01,0.005,12.1,4.409,4.664,3.62464,NA
inlist_M15_Z0.0140_exponential_fov0.01_f00.010,15.0,0.014,exponential,0.01,0.01,12.08,4.409,4.662,3.63083,NA
inlist_M15_Z0.0140_exponential_fov0.03_f00.001,15.0,0.014,exponential,0.03,0.001,13.46,4.367,4.754,4.63481,NA
inlist_M15_Z0.0140_exponential_fov0.03_f00.005,15.0,0.014,exponential,0.03,0.005,13.56,4.363,4.762,4.75544,NA
inlist_M15_Z0.0140_exponential_fov0.03_f00.01,15.0,0.014,exponential,0.03,0.01,13.57,4.363,4.762,4.74938,NA
inlist_M15_Z0.0140_exponential_fov0.10_f00.001,15.0,0.014,exponential,0.1,0.001,16.51,4.12,5.02,7.99786,NA
inlist_M15_Z0.0140_exponential_fov0.10_f00.005,15.0,0.014,exponential,0.1,0.005,16.73,4.081,5.042,8.33583,NA
inlist_M15_Z0.0140_exponential_fov0.10_f00.01,15.0,0.014,exponential,0.1,0.01,16.79,4.067,5.048,8.4103,NA
inlist_M15_Z0.0140_noovs,15.0,0.014,none,0.0,0.0,8.45,4.45,4.473,1.62305,NA
inlist_M15_Z0.0140_step_fov0.10_f00.001,15.0,0.014,step,0.1,0.001,12.06,4.409,4.661,3.63702,NA
inlist_M15_Z0.0140_step_fov0.10_f00.005,15.0,0.014,step,0.1,0.005,12.03,4.41,4.659,3.5814,NA
inlist_M15_Z0.0140_step_fov0.10_f00.01,15.0,0.014,step,0.1,0.01,12.0,4.411,4.657,3.55667,NA
inlist_M15_Z0.0140_step_fov0.30_f00.001,15.0,0.014,step,0.3,0.001,13.49,4.365,4.756,4.70727,NA
inlist_M15_Z0.0140_step_fov0.30_f00.005,15.0,0.014,step,0.3,0.005,13.47,4.366,4.755,4.68316,NA
inlist_M15_Z0.0140_step_fov0.30_f00.01,15.0,0.014,step,0.3,0.01,13.43,4.368,4.752,4.65602,NA
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,2.0,0.0014,exponential,0.01,0.001,596.89,4.066,1.821,0.21946,NA
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,2.0,0.0014,exponential,0.01,0.005,598.35,4.066,1.822,0.21946,NA
inlist_M2_Z0.0014_exponential_fov0.01_f00.010,2.0,0.0014,exponential,0.01,0.01,596.91,4.066,1.821,0.21946,NA
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,2.0,0.0014,exponential,0.03,0.001,722.53,4.035,1.951,0.32538,NA
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,2.0,0.0014,exponential,0.03,0.005,732.06,4.032,1.963,0.33128,NA
inlist_M2_Z0.0014_exponential_fov0.03_f00.01,2.0,0.0014,exponential,0.03,0.01,732.9,4.032,1.964,0.33495,NA
inlist_M2_Z0.0014_exponential_fov0.10_f00.001,2.0,0.0014,exponential,0.1,0.001,1008.39,3.896,2.538,0.8387,NA
inlist_M2_Z0.0014_exponential_fov0.10_f00.005,2.0,0.0014,exponential,0.1,0.005,1023.13,3.89,2.581,0.87664,NA
inlist_M2_Z0.0014_exponential_fov0.10_f00.01,2.0,0.0014,exponential,0.1,0.01,1027.17,3.891,2.596,0.89067,NA
