inlist_name,runtime_seconds,completion_status
inlist_M2_Z0.014_noovs,257,completed
inlist_M2_Z0.014_exponential_fov0.01_f00.001,50,completed
inlist_M2_Z0.014_exponential_fov0.01_f00.005,51,completed
inlist_M2_Z0.014_exponential_fov0.01_f00.01,53,completed
inlist_M2_Z0.014_exponential_fov0.03_f00.001,58,completed
inlist_M2_Z0.014_exponential_fov0.03_f00.005,56,completed
inlist_M2_Z0.014_exponential_fov0.03_f00.01,52,completed
inlist_M2_Z0.014_exponential_fov0.1_f00.001,53,completed
inlist_M2_Z0.014_exponential_fov0.1_f00.005,55,completed
inlist_M2_Z0.014_exponential_fov0.1_f00.01,55,completed
inlist_M2_Z0.014_step_fov0.1_f00.001,57,completed
inlist_M2_Z0.014_step_fov0.1_f00.005,52,completed
inlist_M2_Z0.014_step_fov0.1_f00.01,49,completed
inlist_M15_Z0.0014_exponential_fov0.01_f00.001,49,completed
inlist_M15_Z0.0014_exponential_fov0.01_f00.005,49,completed
inlist_M15_Z0.0014_exponential_fov0.01_f00.01,49,completed
inlist_M15_Z0.0014_exponential_fov0.03_f00.001,50,completed
inlist_M15_Z0.0014_exponential_fov0.03_f00.005,50,completed
inlist_M15_Z0.0014_exponential_fov0.03_f00.01,49,completed
inlist_M15_Z0.0014_exponential_fov0.1_f00.001,51,completed
inlist_M15_Z0.0014_exponential_fov0.1_f00.005,51,completed
inlist_M15_Z0.0014_exponential_fov0.1_f00.01,50,completed
inlist_M15_Z0.0014_noovs,49,completed
inlist_M15_Z0.0014_step_fov0.02_f00.001,49,completed
inlist_M15_Z0.0014_step_fov0.02_f00.005,50,completed
inlist_M15_Z0.0014_step_fov0.02_f00.01,50,completed
inlist_M15_Z0.0014_step_fov0.04_f00.001,50,completed
inlist_M15_Z0.0014_step_fov0.04_f00.005,50,completed
inlist_M15_Z0.0014_step_fov0.04_f00.01,49,completed
inlist_M15_Z0.014_exponential_fov0.01_f00.001,59,completed
inlist_M15_Z0.014_exponential_fov0.01_f00.005,51,completed
inlist_M15_Z0.014_exponential_fov0.01_f00.01,50,completed
inlist_M15_Z0.014_exponential_fov0.03_f00.001,51,completed
inlist_M15_Z0.014_exponential_fov0.03_f00.005,51,completed
inlist_M15_Z0.014_exponential_fov0.03_f00.01,50,completed
inlist_M15_Z0.014_exponential_fov0.1_f00.001,52,completed
inlist_M15_Z0.014_exponential_fov0.1_f00.005,52,completed
inlist_M15_Z0.014_exponential_fov0.1_f00.01,52,completed
inlist_M15_Z0.014_noovs,49,completed
inlist_M15_Z0.014_step_fov0.1_f00.001,50,completed
inlist_M15_Z0.014_step_fov0.1_f00.005,50,completed
inlist_M15_Z0.014_step_fov0.1_f00.01,50,completed
inlist_M15_Z0.014_step_fov0.3_f00.001,51,completed
inlist_M15_Z0.014_step_fov0.3_f00.005,51,completed
inlist_M15_Z0.014_step_fov0.3_f00.01,50,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,47,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,48,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.01,47,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,48,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,48,completed
